Sr_no,Tweets,Retweet_Count
36,Swamy39 pGurus1 Recen example of I is sudden spu in volumes(5 imes daily avg)of Infy pu opions on 17h Aug\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/xqy9DRFjxD,0
37,21_ S_Naional aa salking on cooky eh~ hps://.co/q1K6PQOh,0
38, aehyungpic: someone made aa for aeae ?? hps://.co/QDzJEgrG,3316
39, madzjams: aa and chimmys a colla#21 #sfana #samy hps://.co/n0rA5VM8NS,707
40,aa Moors won an India governmen order for 10000 elecric cars as he counry makes effos o reduce emissions and curfuel impos.,0
41, pandeymukesh23: When Raan aa confirms au modis leadershiphen indian should creae #NewIndia wih Modiji and pu our all effo\xc3\xa2\xe2\x82\xac\xc2\xa6,106
42, xuunn: chimmy and aa hps://.co/GX5Nky6uzu,1839
43, snole: chimmy and aa sharing heir love wih he world-- also dedicaed o es who is dying in hesis-- sends her all he kisses #vm\xc3\xa2\xe2\x82\xac\xc2\xa6,2544
44, india: aa Moors wins d o sell 10000 elecric cars hps://.co/LOeyAEDG hps://.co/MANudXH4z,3
45,IL ha he aa Group from India which owns Jaguar-Land Rover and has revenues of over $100is 66% conrolled xc3\xa2\xe2\x82\xac\xc2\xa6\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/cNulMKK1N0,0
46, honeyschu an irl aa holding a iny aa!!!! hisissoCue my hea is aching:) hps://.co/oGpkxmRa28,27
47, aaSky: Mee original ngali rocksars he uls. Saing from 25h Sep. You oo can share your nosalgia on aa Sky #Recallnga\xc3\xa2\xe2\x82\xac\xc2\xa6,38
48,"I can no explain i  I\ll find a song ha can""",0
49,appy Sunday hope you guys are having a grea day ? I\xc3\xa2\xe2\x82\xac\xe2\x84\xa2ll  geing ck o he hang of hings omorrow wooooop:D,0
50,As #yeg urkish Canadians we srongly condemn las nighs cowardly aack &amp; wish edmononpolice officer a speedy\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/IRrlU82FDe,0
51,Aga_Aul Jha__Pooja Exacly reservaion ne desh ko rd kar diya hai\nSundar pichai n saya nadela agar india me\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/2piAwv,0
52,In #sarcks and as I open he wier app my Cs are righ across my screen in heir full glory he eller didn wan o know my name. ?,0
53,GPamridis ?? &amp; some Cs sruggle 4 recogn of ?? surdinae sae  UN! solen GC propeies given as gifs o\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/8FZQnqwY7,0
54,ne person followed me // auomaically checked  hps://.co/JPuFujO1Cf,0
55,his hangover is kicking me all over from every differen angle,0
56, ScrilerSix: Running nycmarahon o raise $ for heVFoundaion. Need 20 $30 donaions. 1 signed ok for each donaion. hps://.co\xc3\xa2\xe2\x82\xac\xc2\xa6,1
57, AhsanHorani: Sofware Engineers are Required\n\nExperience : Fresh / Mid-level\n\nEducaion : chelors\n\nDrop your resume a :\xc3\xa2\xe2\x82\xac\xc2\xa6hps://.co\xc3\xa2\xe2\x82\xac\xc2\xa6,1
58,Moospeed75 Jus pull he fuse. ...... jus don ask me which one.  don cu any wires as is all linked o\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/S9HKCDrpSs,0
59,If weidwald and Phillips sa nex game v reading Im genuinely concerned ha he cs good sa was a fluke and he is clueless,0
60,meemelif cs pls need address ?,0
61,ps://.co/z33OiWLnlisen his song.,0
62, comixays: Less han $700 o go!  Ill  donaing half of my commissions made a new York comic con.   Pm me o pre-order.... hps:\xc3\xa2\xe2\x82\xac\xc2\xa6,1
63, nauralworld_: Happy #WinIWednesday!  FLW &amp;  wih #MyNauralWorld o #win our hair reamen oils. Ends 29.9 &amp;Cs hps://.co/Gp\xc3\xa2\xe2\x82\xac\xc2\xa6,820
64, PackyCay: ave #Caalonia fire fighers facing down he flames of Spanish facism #CaalanReferendum #freeweey hps://.co/mlp3aS\xc3\xa2\xe2\x82\xac\xc2\xa6,776
65, FullReflecion: Do he recipiens of 280 characers ge a larger quoa of Cs oo? has no really fair.,14
66, OracleCloud: Congraulaions o Wes Corporaion UC for going live on OracleHCM Cloud and OracleERPCloud! #OracleCloud #OracleCusome\xc3\xa2\xe2\x82\xac\xc2\xa6,1
67,ongraulaions o Wes Corporaion UC for going live on OracleHCM Cloud and OracleERPCloud! #OracleCloud\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/USmUgrOVI,1
68,Gyani_Engineer shivamudgil NohaNana roopakgarg praveen_nilesh 9Unknownmen Rdsingh80 _YogendraYadav\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/dCY5VRMYG,0
69, spushor: InforShi Shiy CEO Quis in Indian I Mafia Shakeup - Good Riddance -\n\n\xc3\xa2\xe2\x82\xac\xc5\x93NEW DELHI \xc3\xa2\xe2\x82\xac\xe2\x80\x9d India Inc. suffered a new... hps://.c\xc3\xa2\xe2\x82\xac\xc2\xa6,2
70, spushor: Infoshi and Equifax - Happy ogeher - I All Makes Perfec Cens \n\nI knew he Indian Infoshi was in on he... hps://.co/\xc3\xa2\xe2\x82\xac\xc2\xa6,4
71,Enaing digial o offer effecive oucomes. Were proud o  sholised in he DevOps Excellence awards 2017. hps://.co/elKUIzSzW,0
72,n ey here is an average of $680 woh of ransacions every second #echFac,1
73,ee Indranil a oh 1602 a #OOW17 and learn how we are driving innovaion for our cliens.\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/nEloy3VW,0
74, liked a Youu video hps://.co/v2r5ZK0nnQ LAES INFOSYS PLACEMEN PROCESS 2017  C MADE EASY||CMADEEASY||cmadeeasy,0
75,Insead of sudying Im here ?? good luck sa INFOSYS,0
76,AES INFOSYS PLACEMEN PROCESS 2017  C MADE EASY||CMADEEASY||cmadeeasy: hps://.co/v2r5ZK0nnQ via Youu,0
77,Lauh_purush AshDuy_ Firsly his enire ousourcing o GSN was ridiculous suswamy had warned agnd his In\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/E5Hw20wIpr,0
78,pushan1 You don have o  a specialis o  on he ard. How did ICICI chairman come ard Memr of Infos\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/WUxhuG,0
79,angana Ranau\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s lawyer responds o defamaion noice sen  Adiya Pancholi and Zarina Waha-\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/26oEpeZ04d,0
80,ics: Aishwarya Rai chchan and daugher Aaradhya aend\nDurga Puja fesiviies - ,0
81,S on ink of crushing Presidens Cup vicory - hps://.co/MeA0jnOXv Unied Saes are one mach win away from\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/UlQLF5l7,0
82,P placemen all services provider mean high level o echnical level placemen sa in 2013 in Nasik KP  placem\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/0ka2or6WuB,0
83, sriramp: Marui Suzuki Sales up 9.3%\naa Moors Sales up 18.0%\nEicher Moors Sales up 22%\n\nAll Moor Cos have Sep Sales ??\nEconomy d\xc3\xa2\xe2\x82\xac\xc2\xa6,264
84,hormazdsoraee suhelseh aaMoors  aa Moors share price has en on he ma since long.,0
85,s ghi gonna release 21 plushies?? I wan aa and shooky ??,0
86,has i hen hps://.co/Yvr3dQjo,0
